Disease,Specialty,Symptoms,Precautions,Clinical Guidelines
"Fungal infection","Dermatologist","itching, skin rash, nodal skin eruptions, dischromic  patches","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths","If a patient presents with symptoms such as itching, skin rash, nodal skin eruptions, dischromic  patches, they should be triaged for potential Fungal infection. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths."
"Allergy","General Physician","continuous sneezing, shivering, chills, watering from eyes","apply calamine, cover area with bandage, use ice to compress itching","If a patient presents with symptoms such as continuous sneezing, shivering, chills, watering from eyes, they should be triaged for potential Allergy. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: apply calamine, cover area with bandage, use ice to compress itching."
"GERD","Gastroenterologist","stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","If a patient presents with symptoms such as stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain, they should be triaged for potential GERD. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise."
"Chronic cholestasis","Gastroenterologist","itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes","cold baths, anti itch medicine, consult doctor, eat healthy","If a patient presents with symptoms such as itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, they should be triaged for potential Chronic cholestasis. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: cold baths, anti itch medicine, consult doctor, eat healthy."
"Drug Reaction","Dermatologist","itching, skin rash, stomach pain, burning micturition, spotting  urination","stop irritation, consult nearest hospital, stop taking drug, follow up","If a patient presents with symptoms such as itching, skin rash, stomach pain, burning micturition, spotting  urination, they should be triaged for potential Drug Reaction. The recommended medical specialist to consult is a Dermatologist. The patient should be advised to follow these precautions: stop irritation, consult nearest hospital, stop taking drug, follow up."
"Peptic ulcer diseae","Gastroenterologist","vomiting, loss of appetite, abdominal pain, passage of gases, internal itching, indigestion","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","If a patient presents with symptoms such as vomiting, loss of appetite, abdominal pain, passage of gases, internal itching, indigestion, they should be triaged for potential Peptic ulcer diseae. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol."
"AIDS","General Physician","muscle wasting, patches in throat, high fever, extra marital contacts","avoid open cuts, wear ppe if possible, consult doctor, follow up","If a patient presents with symptoms such as muscle wasting, patches in throat, high fever, extra marital contacts, they should be triaged for potential AIDS. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: avoid open cuts, wear ppe if possible, consult doctor, follow up."
"Diabetes","General Physician","fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria","have balanced diet, exercise, consult doctor, follow up","If a patient presents with symptoms such as fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria, they should be triaged for potential Diabetes. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: have balanced diet, exercise, consult doctor, follow up."
"Gastroenteritis","Gastroenterologist","vomiting, sunken eyes, dehydration, diarrhoea","stop eating solid food for while, try taking small sips of water, rest, ease back into eating","If a patient presents with symptoms such as vomiting, sunken eyes, dehydration, diarrhoea, they should be triaged for potential Gastroenteritis. The recommended medical specialist to consult is a Gastroenterologist. The patient should be advised to follow these precautions: stop eating solid food for while, try taking small sips of water, rest, ease back into eating."
"Bronchial Asthma","Pulmonologist","fatigue, cough, high fever, breathlessness, family history, mucoid sputum","switch to loose cloothing, take deep breaths, get away from trigger, seek help","If a patient presents with symptoms such as fatigue, cough, high fever, breathlessness, family history, mucoid sputum, they should be triaged for potential Bronchial Asthma. The recommended medical specialist to consult is a Pulmonologist. The patient should be advised to follow these precautions: switch to loose cloothing, take deep breaths, get away from trigger, seek help."
"Hypertension","General Physician","headache, chest pain, dizziness, loss of balance, lack of concentration","meditation, salt baths, reduce stress, get proper sleep","If a patient presents with symptoms such as headache, chest pain, dizziness, loss of balance, lack of concentration, they should be triaged for potential Hypertension. The recommended medical specialist to consult is a General Physician. The patient should be advised to follow these precautions: meditation, salt baths, reduce stress, get proper sleep."
"Migraine","Neurologist","acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor","If a patient presents with symptoms such as acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances, they should be triaged for potential Migraine. The recommended medical specialist to consult is a Neurologist. The patient should be advised to follow these precautions: meditation, reduce stress, use poloroid glasses in sun, consult doctor."
